suppressed,malaria_eliminated,num_fertile_females,adult_total_numbers,adult_female,wt,dr,r1,r2,carrier_mos_frequency,healthy_mosquito,carrier_mosquito,carrier_mosquito2,patient_mosquito,healthy_human,carrier_human,patient_human,resistant_human,chasing,chasing_start,chasing_end,avg_pop_during_chase,fertile_female_average,simulation_end,transmission rate to mosquitoes,transmission rate to humans,average dispersal,weekly remating chance,mosquito reproduction chance,animal biting rate,viability fitness,female fecundity fitness,germline resistance rate,drive conversion efficiency,embryo resistance rate,functional resistance proportion,low-density growth rate,seasonal population change,infection duration,immunity duration,density_num_adult_female,human_density,sim_bound,malaria_prevalence,mosquito_prev,ID
0.0,0.1,72898.4,125600.7,72914.5,1071.4,58.3,332440.6,3724.7,58.1,71958.2,0.0,255.4,700.9,2664.0,153.7,799.0,1183.3,1.0,242.5,586.5,102136.49331683412,43972.56298473328,600.0,0.0855,0.335,0.11969999999999999,0.739,0.5999999999999999,0.382,0.873,0.7569999999999999,0.14389999999999997,0.916,0.2599,0.00019,10.0,0.5999999999999999,16.0,20.0,3000.0,300.0,4.0,0.19847916666666668,1.0,2492.0
0.0,0.0,64833.0,111605.5,64843.4,419.7,94.6,295388.0,2897.5,94.3,63104.6,0.0,455.0,1283.8,2653.8,274.0,1406.1,466.1,1.0,266.1,600.0,108153.93334538277,47177.30791262652,600.0,0.1022,0.35,0.1192,0.298,0.5730000000000001,0.623,0.9109999999999999,0.729,0.0645,0.952,0.3577,0.00028599999999999996,15.0,0.4,13.0,5.0,3000.0,300.0,4.0,0.35002083333333334,1.0,3088.0
0.0,0.2,79912.7,138013.1,79932.3,2983.9,146.8,363942.2,4584.7,146.1,77919.2,0.0,570.7,1442.4,2541.7,356.2,1239.1,663.0,1.0,155.0,600.0,89671.33719780193,36342.449085172746,600.0,0.13420000000000004,0.6210000000000001,0.10230000000000002,0.049,0.53,0.974,0.866,0.977,0.7222,0.9190000000000002,0.2218,0.000106,8.0,0.8,13.0,16.0,3000.0,300.0,4.0,0.3323541666666667,1.0,5120.0
0.0,0.0,58716.2,101204.1,58759.1,8193.5,268.9,256980.0,5758.8,267.4,56714.8,0.0,546.4,1497.9,1870.1,272.4,1198.8,1458.7,1.0,173.0,596.7,90447.35857542115,35637.087972182984,600.0,0.1954,0.556,0.07709999999999999,0.10400000000000001,0.458,0.716,0.82,0.7729999999999999,0.1389,0.8379999999999999,0.2828,7.300000000000001e-05,8.0,0.29999999999999993,10.0,19.0,3000.0,300.0,4.0,0.3065,1.0,7195.0
0.0,0.0,68056.4,117316.1,68065.1,854.1,12.5,311582.0,2919.0,12.5,65835.4,0.0,595.1,1634.6,1858.4,248.3,1370.8,1322.5,1.0,214.9,579.2,105194.16561543969,45672.379904632944,600.0,0.2576,0.537,0.1554,0.012,0.295,0.665,0.86,0.907,0.4917999999999999,0.9369999999999999,0.11210000000000002,0.000791,13.0,0.5,17.0,18.0,3000.0,300.0,4.0,0.3373125,1.0,9267.0
0.0,0.0,77556.3,133934.9,77567.3,741.0,44.0,354916.7,4090.9,44.0,71109.5,0.0,1768.3,4689.5,620.0,530.3,2474.7,1175.0,1.0,154.8,583.2,102456.41886179094,42532.28101578233,600.0,0.1914,0.48500000000000004,0.1149,0.052000000000000005,0.6129999999999999,0.8889999999999999,0.869,0.89,0.5344999999999999,0.9369999999999999,0.387,0.0007089999999999999,16.0,0.7,12.0,18.0,3000.0,300.0,4.0,0.6260416666666666,1.0,7419.0
0.0,0.0,51976.5,90837.3,52384.0,20608.1,4610.2,213726.4,8656.1,4396.0,51211.8,0.0,304.9,867.3,3637.8,110.2,614.6,437.4,1.0,79.8,600.0,74904.614760445,31559.014648020093,600.0,0.2037,0.2879999999999999,0.042499999999999996,0.985,0.6180000000000001,0.282,0.9109999999999999,0.745,0.3508,0.8309999999999998,0.5309,0.000826,2.0,0.5999999999999999,17.0,12.0,3000.0,300.0,4.0,0.151,1.0,7464.0
0.0,0.0,45480.6,91404.9,52700.6,161309.6,27725.8,2718.4,57066.0,26462.5,51697.6,0.0,282.2,720.8,2428.3,250.8,849.2,1271.7,1.0,126.2,600.0,87481.26348070972,34755.731824204406,600.0,0.0975,0.449,0.0815,0.827,0.877,0.14799999999999996,0.8309999999999998,0.5649999999999998,0.6319,0.853,0.7277000000000001,2.0000000000000003e-06,3.0,0.7,10.0,19.0,3000.0,300.0,4.0,0.22916666666666669,0.7240777463375918,2825.0
0.0,0.3,61059.0,105860.0,61375.9,2043.9,7541.2,273399.5,2741.0,7107.7,59981.3,0.0,378.0,1016.6,2676.4,206.8,1070.8,846.0,1.0,179.9,600.0,78556.55519161346,32941.20782807116,600.0,0.14440000000000003,0.615,0.0818,0.371,0.45499999999999996,0.5519999999999999,0.9819999999999999,0.6609999999999999,0.2082,0.9040000000000001,0.1952,0.000383,3.0,0.5,15.0,16.0,3000.0,300.0,4.0,0.26616666666666666,1.0,5562.0
0.0,0.0,42203.3,79034.7,46028.4,14280.8,17650.6,161659.7,17554.1,15150.6,44988.7,0.0,263.3,776.4,3032.5,158.9,935.7,672.9,1.0,265.1,600.0,80502.00262249654,25596.69176582575,600.0,0.1719,0.761,0.0808,0.9200000000000002,0.374,0.4640000000000001,0.9499999999999998,0.5780000000000001,0.9216999999999999,0.804,0.35639999999999994,2.6e-05,16.0,0.1,12.0,11.0,3000.0,300.0,4.0,0.2280416666666667,0.8032448070779867,6330.0
0.0,0.0,60111.3,103506.8,60118.4,291.2,79.6,274359.8,2417.8,79.5,59613.6,0.0,133.3,371.5,3147.4,156.7,1155.5,340.4,1.0,237.1,596.1,107528.41066385506,46870.371990535685,600.0,0.0502,0.7990000000000002,0.13240000000000002,0.404,0.422,0.6159999999999999,0.906,0.9350000000000002,0.4328,0.826,0.07120000000000001,0.000987,12.0,0.29999999999999993,18.0,5.0,3000.0,300.0,4.0,0.27337500000000003,1.0,10.0
0.0,0.0,67806.8,116977.0,67829.6,3116.8,46.7,306378.1,4474.0,46.7,64716.4,0.0,832.5,2280.7,926.1,386.3,2081.9,1405.7,1.0,185.1,595.3,103163.15762483851,43275.0605755986,600.0,0.16060000000000002,0.7780000000000001,0.0854,0.4749999999999999,0.44000000000000006,0.07499999999999998,0.877,0.788,0.29179999999999995,0.994,0.726,0.000509,17.0,0.5,15.0,20.0,3000.0,300.0,4.0,0.5142083333333333,1.0,5868.0
0.0,0.0,75158.7,129789.4,75163.0,143.8,899.3,347693.3,728.6,895.3,73142.5,0.0,548.9,1471.6,2629.7,197.2,1050.8,922.3,1.0,228.7,600.0,103596.29772992115,45137.48660032265,600.0,0.24440000000000003,0.37,0.11000000000000001,0.9,0.32799999999999996,0.22600000000000003,0.9600000000000002,0.9190000000000002,0.2367,0.942,0.18480000000000002,0.0008789999999999999,9.0,0.7,19.0,14.0,3000.0,300.0,4.0,0.25999999999999995,1.0,8855.0
0.0,0.0,50805.1,87351.0,50813.3,597.1,132.0,230769.3,1733.2,131.4,49624.2,0.0,308.1,881.0,1948.3,177.5,1543.1,1131.1,1.0,314.7,600.0,106463.75184749495,46515.03736731912,600.0,0.0733,0.396,0.0735,0.457,0.598,0.505,0.8990000000000002,0.5730000000000001,0.3479,0.952,0.0996,0.000965,9.0,0.1,18.0,14.0,3000.0,300.0,4.0,0.3584583333333333,1.0,1426.0
0.0,0.0,51199.8,87903.6,51203.9,363.7,1.3,232616.1,1880.9,1.3,49877.7,0.0,344.6,981.6,2968.8,194.3,1371.9,265.0,1.0,206.2,525.0,105965.18319184337,46150.663071447096,600.0,0.20800000000000002,0.635,0.15220000000000003,0.882,0.263,0.834,0.882,0.9209999999999999,0.9256999999999997,0.93,0.1671,0.00068,7.0,0.1,14.0,2.0,3000.0,300.0,4.0,0.3262916666666667,1.0,8000.0
0.0,0.0,62274.6,107463.9,62283.8,736.6,16.4,285659.9,2608.7,16.4,58829.9,0.0,923.7,2530.2,1641.5,298.1,1674.6,1185.8,1.0,254.7,580.4,105316.70467077328,45962.88155030979,600.0,0.2016,0.29700000000000004,0.11339999999999999,0.99,0.521,0.03599999999999999,0.9040000000000001,0.7059999999999998,0.8981999999999999,0.9540000000000001,0.3582,0.000549,4.0,0.4,14.0,14.0,3000.0,300.0,4.0,0.4109791666666666,1.0,7769.0
0.0,0.0,60137.4,103617.9,60145.2,175.0,450.8,274932.2,1867.6,450.2,55434.9,0.0,1209.4,3500.9,587.1,367.4,2272.9,1572.6,1.0,243.3,600.0,107749.5903063681,47045.43554444997,600.0,0.2056,0.45,0.13030000000000003,0.399,0.532,0.16399999999999998,0.9410000000000001,0.7830000000000001,0.9446,0.9310000000000003,0.18449999999999997,0.0006370000000000001,9.0,0.29999999999999993,13.0,16.0,3000.0,300.0,4.0,0.5500624999999999,1.0,7908.0
